City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Santa Sylvina,AR,-27.8326,-61.1375,63.05,64,28,6.35,scattered clouds
149,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,41,0,3.44,clear sky
150,Uturoa,PF,-16.7333,-151.4333,78.64,81,17,13.58,moderate rain
151,Carnarvon,AU,-24.8667,113.6333,68.97,73,5,14.72,clear sky
152,Robore,BO,-18.3333,-59.75,68.95,60,100,3.65,overcast clouds
153,Merizo Village,GU,13.2658,144.6691,86.99,89,93,7.54,overcast clouds
154,Susuman,RU,62.7833,148.1667,28.36,89,100,5.95,light snow
155,Aioun,MR,16.6614,-9.6149,95.9,10,44,7.83,scattered clouds
156,Labytnangi,RU,66.6572,66.4183,21.7,96,100,4.45,light snow
157,Baiyin,CN,36.5583,104.2081,54.5,43,0,10.31,clear sky
158,La Ronge,CA,55.1001,-105.2842,71.82,12,75,8.05,broken clouds
159,Umm Kaddadah,SD,13.6017,26.6876,87.73,15,54,17.05,broken clouds
160,Yung Shue Wan,HK,22.2333,114.1167,74.68,81,98,1.01,overcast clouds
161,St. John'S,CA,47.5649,-52.7093,43.16,67,40,9.22,scattered clouds
162,Karkira,DZ,36.9292,6.5856,61.81,94,93,2.73,light rain
163,Qarauyl,KZ,48.9451,79.255,49.32,69,58,2.75,broken clouds
164,Alice Springs,AU,-23.7,133.8833,44.15,65,0,3.44,clear sky
165,Saint-Philippe,RE,-21.3585,55.7679,72.99,82,85,9.06,overcast clouds
166,Nemuro,JP,43.3236,145.575,45.73,75,0,7.14,clear sky
167,Say,NE,13.1007,2.3689,86.56,56,100,9.31,overcast clouds
168,Fale Old Settlement,TK,-9.3852,-171.2468,83.75,75,18,11.34,few clouds
169,Luderitz,NA,-26.6481,15.1594,55.65,65,3,21.34,clear sky
170,Bengkulu,ID,-3.8004,102.2655,77.0,83,83,4.23,broken clouds
171,Anadyr,RU,64.75,177.4833,28.9,92,20,4.47,fog
172,Chibougamau,CA,49.9168,-74.3659,47.82,61,100,14.97,overcast clouds
173,Ulladulla,AU,-35.35,150.4667,58.28,75,43,3.2,scattered clouds
174,Narok,KE,-1.0783,35.8601,55.58,95,45,5.39,scattered clouds
175,Lycksele,SE,64.5954,18.6735,40.87,81,100,0.0,overcast clouds
176,Isangel,VU,-19.55,169.2667,78.91,94,100,5.75,overcast clouds
177,Vilyuysk,RU,63.7553,121.6247,39.09,61,100,4.38,overcast clouds
178,Glendive,US,47.1053,-104.7125,56.82,94,100,16.11,overcast clouds
179,Rongelap,MH,11.1635,166.8941,81.66,81,91,16.31,overcast clouds
180,Atafu Village,TK,-8.5421,-172.5159,83.91,77,15,10.51,few clouds
181,Nuuk,GL,64.1835,-51.7216,34.41,86,100,9.22,overcast clouds
182,Djambala,CG,-2.5447,14.7533,71.47,84,45,1.01,scattered clouds
183,Hawaiian Paradise Park,US,19.5933,-154.9731,80.11,73,0,10.36,clear sky
184,Petropavlovsk-Kamchatsky,RU,53.0452,158.6483,46.99,49,75,15.66,broken clouds
185,Agadez,NE,19.75,10.25,82.33,17,73,5.46,broken clouds
186,Lethbridge,CA,49.7,-112.8186,70.29,37,40,2.3,scattered clouds
187,Argo,GR,37.6333,22.7333,59.79,93,86,0.58,overcast clouds
188,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,92,14,6.06,few clouds
189,Kone,NC,-21.0595,164.8658,77.68,56,85,7.99,overcast clouds
190,Westport,US,41.1415,-73.3579,83.93,51,0,13.8,clear sky
191,North Ward,AU,-19.2454,146.8075,75.11,64,41,9.22,scattered clouds
192,Vadso,NO,70.0744,29.7487,43.68,81,75,5.75,broken clouds
193,El Calafate,AR,-50.3408,-72.2768,40.95,82,28,0.67,scattered clouds
194,Robertsport,LR,6.7533,-11.3686,81.64,83,100,4.05,light rain
195,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,88,75,8.32,broken clouds
196,El Granada,US,37.5027,-122.4694,82.92,71,20,23.02,few clouds
197,Ca Mau,VN,9.1769,105.15,80.06,87,95,3.2,overcast clouds
198,Ust'-Barguzin,RU,53.45,108.9833,36.37,95,100,2.62,light rain
199,Lompoc,US,34.6391,-120.4579,78.69,72,40,17.0,scattered clouds
200,Vila Velha,BR,-20.3297,-40.2925,73.35,83,75,6.91,broken clouds
201,Kartarpur,IN,31.44,75.4997,77.97,12,0,4.54,clear sky
202,Dalandzadgad,MN,43.5708,104.425,57.72,22,14,4.18,few clouds
203,Takoradi,GH,4.8845,-1.7554,80.94,84,88,7.0,overcast clouds
204,Charlottetown,CA,46.2352,-63.1267,66.49,46,75,14.97,broken clouds
205,Nantucket,US,41.2835,-70.0995,73.51,74,75,16.11,broken clouds
206,Mishkovo-Pohorilove,UA,46.9995,32.118,56.01,55,99,6.69,overcast clouds
207,Jwaneng,BW,-24.6004,24.7303,61.68,32,100,8.88,overcast clouds
208,Mabaruma,GY,8.2,-59.7833,73.45,94,100,2.93,overcast clouds
209,Westerland,DE,54.9079,8.3033,57.22,58,4,11.5,clear sky
210,Kikwit,CD,-5.041,18.8162,75.7,79,100,1.43,overcast clouds
211,Arno,SE,60.1167,18.6333,48.45,57,28,6.67,scattered clouds
212,Tarawa,KI,1.419,172.984,86.09,74,40,8.05,light rain
213,Nova Sintra,CV,14.8667,-24.7167,67.93,83,4,20.2,clear sky
214,Constantia,RO,44.1833,28.65,52.48,59,75,6.82,broken clouds
215,Gadzhiyevo,RU,69.2551,33.3362,37.13,100,100,7.58,overcast clouds
216,Gumdag,TM,39.2061,54.5906,71.15,48,0,3.8,clear sky
217,Kavieng,PG,-2.5744,150.7967,79.57,89,100,12.75,moderate rain
218,Bardai,NG,11.65,7.2333,84.74,36,58,1.7,broken clouds
219,Liwale,TZ,-9.7667,37.9333,66.63,92,17,0.98,few clouds
220,Zhalantun,CN,48.0,122.7167,50.83,78,100,9.98,overcast clouds
221,Mariental,NA,-24.6333,17.9667,67.06,26,65,6.06,broken clouds
222,Gao,ML,16.6362,1.637,84.9,43,87,11.54,overcast clouds
223,Ust-Nera,RU,64.5667,143.2,32.13,62,100,6.96,overcast clouds
224,Zaragoza,ES,41.6561,-0.8773,54.05,69,0,19.57,clear sky
225,Hasaki,JP,35.7333,140.8333,64.8,66,100,12.26,light rain
226,Valparaiso,CL,-33.0393,-71.6273,83.84,42,0,18.41,clear sky
227,Humaita,BR,-7.5061,-63.0208,80.11,75,95,2.51,overcast clouds
228,Bikenibeu Village,KI,1.3673,173.1241,85.96,74,40,8.05,light rain
229,Cururupu,BR,-1.8283,-44.8683,74.66,97,69,2.77,broken clouds
230,Longyearbyen,SJ,78.2186,15.6401,22.84,74,75,14.97,light snow
231,Kapuskasing,CA,49.4169,-82.4331,68.0,24,20,14.97,few clouds
232,Marsa Alam,EG,25.0757,34.8918,80.64,44,0,14.25,clear sky
233,Tual,ID,-5.6667,132.75,82.6,80,97,17.76,overcast clouds
234,Cole Harbour,CA,44.6724,-63.4751,50.18,86,84,11.5,broken clouds
235,Grajau,BR,-5.8194,-46.1386,77.56,78,85,1.25,overcast clouds
236,Horta,PT,38.5333,-28.6333,63.01,86,100,1.99,overcast clouds
237,Bubaque,GW,11.2833,-15.8333,78.85,74,13,13.98,few clouds
238,Korla,CN,41.7597,86.1469,67.05,19,92,4.16,overcast clouds
239,Kuraymah,SD,18.55,31.85,89.55,15,31,13.78,scattered clouds
240,Tazacorte,ES,28.629,-17.9293,68.97,90,100,18.41,overcast clouds
241,Gazojak,TM,41.1875,61.4036,77.72,29,15,6.46,few clouds
242,Dudinka,RU,69.4058,86.1778,-1.17,100,98,2.55,overcast clouds
243,Marcala,HN,14.15,-88.0333,74.68,89,95,1.03,overcast clouds
244,Tahe,CN,52.3333,124.7333,39.61,60,21,7.47,few clouds
245,Pankovka,RU,58.5,31.1999,47.32,61,29,6.29,scattered clouds
246,Kostanjevica Na Krki,SI,45.8461,15.4222,54.66,97,100,3.44,drizzle
247,Sirte,LY,31.2089,16.5887,71.64,44,1,17.49,clear sky
248,Dongola,SD,19.1667,30.4833,87.44,17,16,17.83,few clouds
249,Inari,FI,68.906,27.0288,41.2,85,97,2.77,overcast clouds
250,Sodra Sandby,SE,56.5667,16.6167,48.88,70,26,5.12,scattered clouds
251,Guarapari,BR,-20.6667,-40.4975,72.9,87,100,8.9,overcast clouds
252,Tromso,NO,69.6496,18.957,43.38,87,75,11.5,light intensity drizzle
253,Eureka,US,40.8021,-124.1637,78.67,83,12,8.01,few clouds
254,New Norfolk,AU,-42.7826,147.0587,50.72,68,99,1.99,light rain
255,Petoskey,US,45.3733,-84.9553,74.82,46,100,8.05,overcast clouds
256,Kuta,ID,-8.7233,115.1723,78.75,88,75,11.99,broken clouds
257,Gutao,CN,37.2025,112.1781,61.29,29,0,1.39,clear sky
258,Happy Valley-Goose Bay,CA,53.3168,-60.3315,68.31,21,75,11.5,broken clouds
259,Teknaf,BD,20.8624,92.3058,75.15,92,100,7.56,moderate rain
260,Ta`U,AS,-14.2336,-169.5144,81.64,77,20,10.31,few clouds
261,San Patricio,US,28.017,-97.5169,86.72,75,21,20.74,few clouds
262,Lewiston,US,44.1003,-70.2148,78.98,46,0,10.36,clear sky
263,Namibe,AO,-15.1961,12.1522,71.22,79,82,5.61,broken clouds
264,Moberly,US,39.4184,-92.4382,80.92,65,96,1.99,overcast clouds
265,Malampaka,TZ,-3.1333,33.5333,66.67,75,75,4.97,broken clouds
266,Mananjary,MG,-21.2167,48.3333,72.99,90,100,2.39,overcast clouds
267,Hamlet,US,34.8849,-79.6942,84.76,34,0,8.05,clear sky
268,Qui Nhon,VN,13.7667,109.2333,78.94,89,100,2.26,overcast clouds
269,Ak-Dovurak,RU,51.1833,90.6,45.21,70,99,0.47,overcast clouds
270,Kem',RU,64.9555,34.5793,42.89,86,55,8.08,broken clouds
271,Luanda,AO,-8.8368,13.2343,80.6,83,20,6.91,few clouds
272,Smithers,CA,54.7804,-127.1743,66.52,32,100,11.5,overcast clouds
273,Puerto Varas,CL,-41.3195,-72.9854,59.22,100,100,9.22,light intensity drizzle
274,Boa Vista,BR,2.8197,-60.6733,82.38,74,75,5.75,thunderstorm
275,Sarmiento,AR,-45.5882,-69.07,55.17,57,100,5.77,overcast clouds
276,Bargaal,SO,11.2864,51.0773,82.51,84,18,5.59,few clouds
277,Karachev,RU,53.1229,34.9852,47.82,89,97,6.4,overcast clouds
278,Magadan,RU,59.5667,150.8,34.63,85,39,4.74,scattered clouds
279,Irtyshsk,KZ,53.3333,75.4572,46.09,41,100,8.57,overcast clouds
280,Volzhskiy,RU,48.7858,44.7797,44.11,65,0,4.76,clear sky
281,Smidovich,RU,48.6,133.8167,59.02,50,100,14.09,overcast clouds
282,Port Alfred,ZA,-33.5906,26.891,57.18,91,100,1.01,light rain
283,Pyt-Yakh,RU,60.7499,72.8582,29.05,68,99,5.23,overcast clouds
284,Holualoa,US,19.6228,-155.9522,75.56,85,54,3.0,broken clouds
285,Kihangara,TZ,-2.5833,33.35,68.97,79,81,4.68,broken clouds
286,Mount Isa,AU,-20.7333,139.5,67.77,49,0,8.05,clear sky
287,Vorkuta,RU,67.5,64.0,23.79,95,87,5.23,overcast clouds
288,Waterloo,CA,43.4668,-80.5164,77.49,41,40,6.91,scattered clouds
289,Tabou,CI,4.423,-7.3528,80.83,85,92,5.88,overcast clouds
290,Minas De Marcona,PE,-15.2119,-75.1103,61.25,77,7,8.97,clear sky
291,Mennzel Bou Zelfa,TN,36.6831,10.5843,65.68,92,100,9.33,overcast clouds
292,Newman,US,37.3138,-121.0208,86.34,31,35,7.0,scattered clouds
293,Mandalgovi,MN,45.7625,106.2708,51.03,37,0,5.82,clear sky
294,Morondava,MG,-20.2833,44.2833,73.89,87,0,7.9,clear sky
295,Colonia,DE,50.9333,6.95,56.95,85,0,4.61,clear sky
296,Marat,SA,25.0701,45.4615,87.24,14,9,7.87,clear sky
297,Lagos,NG,6.5833,3.75,82.72,90,81,3.31,broken clouds
298,Selfoss,IS,63.9331,-20.9971,42.04,84,43,12.82,scattered clouds
299,Greymouth,NZ,-42.4667,171.2,50.22,71,72,2.95,broken clouds
300,Nadi,FJ,-17.8,177.4167,82.4,74,20,5.75,few clouds
301,La Sarre,CA,48.8002,-79.1996,60.37,43,42,9.69,scattered clouds
302,Crane,US,31.3974,-102.3501,88.79,34,55,13.44,broken clouds
303,Port Lincoln,AU,-34.7333,135.8667,58.64,75,0,10.58,clear sky
304,Mejit,MH,10.2753,170.8646,81.64,81,91,16.15,light rain
305,Maicao,CO,11.3832,-72.2432,84.15,61,32,13.98,scattered clouds
306,Saint-Joseph,RE,-21.3667,55.6167,71.98,78,81,8.9,broken clouds
307,Sinabang,ID,2.4803,96.3801,82.11,85,96,6.33,overcast clouds
308,Argostolion,GR,38.1811,20.489,60.62,86,94,5.97,overcast clouds
309,Rabaul,PG,-4.1967,152.1721,80.85,81,100,6.17,overcast clouds
310,Makakilo City,US,21.3469,-158.0858,82.72,63,0,11.5,clear sky
311,Zaozersk,RU,69.4005,32.4476,38.08,98,99,7.49,overcast clouds
312,Goundam,ML,16.4145,-3.6708,93.63,13,70,5.08,broken clouds
313,Jianshui,CN,23.6363,102.8264,63.37,84,100,3.04,overcast clouds
314,Pacific Grove,US,36.6177,-121.9166,72.55,78,20,11.5,few clouds
315,Rabo De Peixe,PT,37.8,-25.5833,63.91,82,20,6.91,few clouds
316,Bandar-E Genaveh,IR,29.5791,50.517,85.41,36,0,3.15,clear sky
317,Bandarbeyla,SO,9.4942,50.8122,81.54,83,98,14.36,overcast clouds
318,Portland,US,45.5234,-122.6762,87.89,31,20,10.36,few clouds
319,Antofagasta,CL,-23.65,-70.4,63.68,80,1,1.99,clear sky
320,Russkiy,RU,43.0147,131.8642,55.26,88,97,15.66,overcast clouds
321,Kerikeri,NZ,-35.2268,173.9474,63.91,83,7,1.99,clear sky
322,Pechora,RU,65.1472,57.2244,33.96,100,100,3.33,light snow
323,Vorgashor,RU,67.5833,63.95,22.89,95,84,6.04,broken clouds
324,Winnemucca,US,40.973,-117.7357,75.25,16,0,12.66,clear sky
325,Arteche,PH,12.2645,125.4048,80.4,78,70,3.11,broken clouds
326,Qamdo,CN,31.1667,97.2333,27.19,63,100,2.19,overcast clouds
327,Choyr,MN,46.3611,108.3611,50.23,31,16,5.84,few clouds
328,Praia,CV,14.9215,-23.5087,73.94,73,20,17.27,few clouds
329,Cam Ranh,VN,11.9214,109.1591,78.76,83,20,3.44,few clouds
330,Tulun,RU,54.5611,100.5792,38.01,80,63,9.04,broken clouds
331,Prachuap Khiri Khan,TH,12.2167,99.75,73.81,86,97,2.82,overcast clouds
332,Corumba,BR,-19.0092,-57.6533,71.87,60,99,3.67,overcast clouds
333,Ulety,RU,51.3572,112.4849,49.68,28,85,3.65,overcast clouds
334,Lata,PT,40.1629,-8.3327,58.82,86,0,2.26,clear sky
335,Alo,NG,7.4178,6.7371,80.31,82,48,4.74,scattered clouds
336,Howrah,IN,22.5892,88.3103,82.4,89,75,4.61,haze
337,Ancud,CL,-41.8697,-73.8203,54.52,97,100,8.9,overcast clouds
338,Aripuana,BR,-9.1667,-60.6333,77.99,78,79,1.83,broken clouds
339,Peace River,CA,56.2501,-117.286,79.11,22,75,11.5,broken clouds
340,Gnarrenburg,DE,53.3833,9.0,55.83,95,4,7.74,clear sky
341,Nsanje,MW,-16.92,35.262,68.5,78,1,1.01,clear sky
342,Pochaiv,UA,50.0051,25.5118,43.57,79,24,5.79,few clouds
343,Undurkhaan,MN,47.3194,110.6556,51.33,35,32,9.64,scattered clouds
344,Bosaso,SO,11.2842,49.1816,82.8,76,9,4.34,clear sky
345,Sandnessjoen,NO,66.0217,12.6316,46.51,91,40,3.44,scattered clouds
